Model,Tool,CardP,CardT,CardA,PTime,TTime,ConstP,NBP,NBT,TotalTime,Time,Mem,Status
AirplaneLD-COL-0010,itstools,29,20,56,5,5,6,3,0,416,1004,01,OK
AirplaneLD-COL-0020,itstools,29,20,56,6,4,6,3,0,422,1003,01,OK
AirplaneLD-COL-0050,itstools,29,20,56,6,4,6,3,0,441,1003,01,OK
AirplaneLD-COL-0100,itstools,29,20,56,6,5,6,3,0,454,1009,01,OK
AirplaneLD-COL-0200,itstools,29,20,56,6,4,6,3,0,451,1010,01,OK
AirplaneLD-COL-0500,itstools,29,20,56,6,4,6,3,0,516,1012,01,OK
AirplaneLD-COL-1000,itstools,29,20,56,6,6,6,3,0,562,1017,01,OK
AirplaneLD-COL-2000,itstools,29,20,56,6,5,6,3,0,635,1031,01,OK
AirplaneLD-COL-4000,itstools,29,20,56,8,5,6,3,0,703,1030,01,OK
AirplaneLD-PT-0010,itstools,89,88,333,9,7,32,3,34,159,76,00,OK
AirplaneLD-PT-0020,itstools,159,168,638,10,8,62,3,74,199,84,00,OK
AirplaneLD-PT-0050,itstools,369,408,1553,22,7,152,3,194,207,83,00,OK
AirplaneLD-PT-0100,itstools,719,808,3078,28,14,302,3,394,231,1005,01,OK
AirplaneLD-PT-0200,itstools,1419,1608,6128,70,20,602,3,794,343,93,00,OK
AirplaneLD-PT-0500,itstools,3519,4008,15278,371,34,1502,3,1994,792,1035,01,OK
AirplaneLD-PT-1000,itstools,7019,8008,30528,1118,48,3002,3,3994,1751,2037,02,OK
AirplaneLD-PT-2000,itstools,14019,16008,61028,4631,108,6002,3,7994,5536,6019,06,OK
AirplaneLD-PT-4000,itstools,28019,32008,122028,20254,201,12002,3,15994,21695,22047,22,OK
Angiogenesis-PT-01,itstools,39,64,185,5,6,0,8,33,120,71,00,OK
Angiogenesis-PT-05,itstools,39,64,185,6,5,0,8,33,135,71,00,OK
Angiogenesis-PT-10,itstools,39,64,185,5,5,0,8,33,130,69,00,OK
Angiogenesis-PT-15,itstools,39,64,185,5,5,0,8,33,122,70,00,OK
Angiogenesis-PT-20,itstools,39,64,185,5,6,0,8,33,124,68,00,OK
Angiogenesis-PT-25,itstools,39,64,185,6,7,0,8,33,119,70,00,OK
Angiogenesis-PT-50,itstools,39,64,185,5,5,0,8,33,124,69,00,OK
ARMCacheCoherence-PT-none,itstools,87,33676,246935,12,18,0,12,425,811,1041,01,OK
ASLink-PT-01a,itstools,431,735,2801,32,29,0,80,377,248,86,00,OK
ASLink-PT-01b,itstools,846,1148,3624,59,47,0,82,384,352,92,00,OK
ASLink-PT-02a,itstools,626,1008,3820,31,31,0,118,490,247,85,00,OK
ASLink-PT-02b,itstools,1242,1621,5041,45,56,0,121,500,370,95,00,OK
ASLink-PT-03a,itstools,821,1281,4839,69,65,0,156,603,378,97,00,OK
ASLink-PT-03b,itstools,1638,2094,6458,99,96,0,160,616,467,1002,01,OK
ASLink-PT-04a,itstools,1016,1554,5858,63,80,0,194,716,384,95,00,OK
ASLink-PT-04b,itstools,2034,2567,7875,137,98,0,199,732,593,1020,01,OK
ASLink-PT-05a,itstools,1211,1827,6877,122,81,0,232,829,493,1010,01,OK
ASLink-PT-05b,itstools,2430,3040,9292,155,122,0,238,848,661,1033,01,OK
ASLink-PT-06a,itstools,1406,2100,7896,83,84,0,270,942,451,1008,01,OK
